1520648591.576607, 2
1520648591.5766957, 111330
1520648591.5772777, 111368
1520648591.5773833, 111389
1520648591.5774586, 111413
1520648591.5775318, 111400
1520648591.5776033, 111270
1520648591.5776749, 111146
1520648591.577746, 111182
1520648591.5778244, 111191
1520648591.5779083, 111210
1520648598.2460427, 110696
1520648598.2462618, 110696
1520648598.246422, 110696
1520648598.246575, 110696
1520648598.2467256, 110696
1520648598.2499616, 110696
1520648598.250227, 110696
1520648598.250396, 110696
1520648598.250552, 110696
1520648598.2507067, 110696
1520648598.2509692, 110696
1520648598.2539477, 110696
1520648598.2542, 110696
1520648598.254405, 110696
1520648598.2545805, 110696
1520648598.2547612, 110696
1520648598.25497, 110696
1520648598.2580445, 110696
1520648598.2583523, 110696
1520648598.2585306, 110696
1520648598.2587667, 110696
1520648598.2590854, 110696
1520648598.259374, 110696
1520648598.2600076, 110696
1520648598.2622337, 110696
1520648598.2624123, 110696
1520648598.2625704, 110696
1520648598.2627115, 110696
1520648598.2629557, 110696
1520648598.2631152, 110696
1520648598.26642, 110696
1520648598.2666001, 110696
1520648598.2667446, 110696
1520648598.266974, 110696
1520648598.26712, 110696
1520648598.2672575, 110696
1520648598.2704244, 110696
1520648598.2705977, 110696
1520648598.2707405, 110696
1520648598.2709332, 110696
1520648598.271062, 110696
1520648598.2711852, 110696
1520648598.275048, 110696
1520648598.2753594, 110696
1520648598.2756143, 110696
1520648598.2758615, 110696
1520648598.2760932, 110696
1520648598.276326, 110696
1520648598.2787282, 110696
1520648598.2790887, 110696
1520648598.2793295, 110696
1520648598.2795706, 110696
1520648598.279806, 110696
1520648598.2800395, 110696
1520648598.2829778, 110696
1520648598.2833102, 110696
1520648598.2835972, 110696
1520648598.283865, 110696
1520648598.284135, 110696
1520648598.2842727, 110696
1520648598.2870426, 110696
1520648598.2872493, 110696
1520648598.2873895, 110696
1520648598.2874742, 110696
1520648598.2875597, 110696
1520648598.2876449, 110696
1520648598.2908528, 110696
1520648598.290971, 110696
1520648598.2910595, 110696
1520648598.2911482, 110696
1520648598.2912292, 110696
1520648598.2913096, 110696
1520648598.2949011, 110696
1520648598.2950008, 110696
1520648598.295081, 110696
1520648598.2951584, 110696
1520648598.2952342, 110696
1520648598.2953098, 110696
1520648598.2989993, 110696
1520648598.2990975, 110696
1520648598.2991805, 110696
1520648598.299258, 110696
1520648598.2993345, 110696
1520648598.2994106, 110696
1520648598.3031566, 110696
1520648598.3032525, 110696
1520648598.303336, 110696
1520648598.3034163, 110696
1520648598.3034947, 110696
1520648598.3035734, 110696
1520648598.307272, 110696
1520648598.3074434, 110696
1520648598.307572, 110696
1520648598.3076868, 110696
1520648598.3077962, 110696
1520648598.3079088, 110696
1520648598.3113463, 110696
1520648598.311451, 110696
1520648598.3115165, 110696
1520648598.3115785, 110696
1520648598.3116388, 110696
1520648598.311699, 110696
1520648598.3154566, 110696
1520648598.315586, 110696
1520648598.3156734, 110696
1520648598.3157735, 110696
1520648598.3158805, 110696
1520648598.3159778, 110696
1520648598.3194668, 110696
1520648598.3195949, 110696
1520648598.3196926, 110696
1520648598.3197849, 110696
1520648598.319883, 110696
1520648598.319988, 110696
1520648598.32373, 110696
1520648598.3238566, 110696
1520648598.32395, 110696
1520648598.3240538, 110696
1520648598.3241575, 110696
1520648598.324259, 110696
1520648598.3276298, 110696
1520648598.3277338, 110696
1520648598.327823, 110696
1520648598.3279102, 110696
1520648598.3280058, 110696
1520648598.3281198, 110696
1520648598.3317194, 110696
1520648598.3318238, 110696
1520648598.331913, 110696
1520648598.3320084, 110696
1520648598.3321056, 110696
1520648598.3322, 110696
1520648598.3358445, 110696
1520648598.3359766, 110696
1520648598.336099, 110696
1520648598.3362603, 110696
1520648598.3364453, 110696
1520648598.336655, 110696
1520648598.340031, 110696
1520648598.3402658, 110696
1520648598.3404872, 110696
1520648598.340685, 110696
1520648598.3408449, 110696
1520648598.3409998, 110696
1520648598.3441303, 110696
1520648598.3443332, 110696
1520648598.3444686, 110696
1520648598.3445864, 110696
1520648598.3447058, 110696
1520648598.3448186, 110696
1520648598.3482497, 110696
1520648598.3483837, 110696
1520648598.3484924, 110696
1520648598.3486104, 110696
1520648598.3487318, 110696
1520648598.3488705, 110696
1520648598.3522863, 110696
1520648598.352468, 110696
1520648598.3525915, 110696
1520648598.352707, 110696
1520648598.352819, 110696
1520648598.3529313, 110696
1520648598.3563888, 110696
1520648598.356531, 110696
1520648598.3566656, 110696
1520648598.3567972, 110696
1520648598.3569257, 110696
1520648598.3570404, 110696
1520648598.3604314, 110696
1520648598.3605735, 110696
1520648598.3607082, 110696
1520648598.3608408, 110696
1520648598.3609715, 110696
1520648598.3610866, 110696
1520648598.3645372, 110696
1520648598.3646905, 110696
1520648598.3648093, 110696
1520648598.364941, 110696
1520648598.365077, 110696
1520648598.3652165, 110696
1520648598.3688042, 110696
1520648598.3691123, 110696
1520648598.369287, 110696
1520648598.369457, 110696
1520648598.3695986, 110696
1520648598.3697367, 110696
1520648598.3728704, 110696
1520648598.3732088, 110696
1520648598.3734837, 110696
1520648598.3736534, 110696
1520648598.3737972, 110696
1520648598.3739603, 110696
1520648598.3768656, 110696
1520648598.3770826, 110696
1520648598.3772316, 110696
1520648598.3773854, 110696
1520648598.3775427, 110696
1520648598.3776846, 110696
1520648598.3808742, 110696
1520648598.381039, 110696
1520648598.3812237, 110696
1520648598.381361, 110696
1520648598.3814971, 110696
1520648598.3816333, 110696
1520648598.3849838, 110696
1520648598.385115, 110696
1520648598.3852212, 110696
1520648598.385325, 110696
