1520812667.373808, 27
1520812667.4084961, 37
1520812667.4431844, 52
1520812667.4778724, 64
1520812667.5125606, 74
1520812667.5472488, 96
1520812667.581937, 116
1520812667.6166253, 92
1520812667.6513135, 15
1520812667.6860018, -57
1520812667.72069, -80
1520812667.7520158, -69
1520812667.783342, -61
1520812667.8146677, -60
1520812667.8459938, -54
1520812667.8773196, -47
1520812667.9086456, -47
1520812667.9399714, -52
1520812667.9712973, -54
1520812668.0026233, -49
1520812668.0339491, -37
1520812668.0652752, -23
1520812668.096601, -10
1520812668.127927, 1
1520812668.159253, 11
1520812668.1908271, 16
1520812668.2224014, 21
1520812668.2539756, 30
1520812668.2855496, 38
1520812668.317124, 45
1520812668.3486981, 59
1520812668.3802724, 73
1520812668.4118466, 82
1520812668.443421, 97
1520812668.4749951, 119
1520812668.5065691, 112
1520812668.5381434, 53
1520812668.5697176, -25
1520812668.601292, -69
1520812668.6326017, -70
1520812668.6639113, -62
1520812668.695221, -64
1520812668.7265308, -67
1520812668.7578406, -64
1520812668.7891502, -60
1520812668.8204598, -60
1520812668.8517697, -61
1520812668.8830795, -60
1520812668.9143891, -54
1520812668.9456987, -42
1520812668.9770086, -28
1520812669.0083184, -16
1520812669.039628, -8
1520812669.0708752, 0
1520812669.1021223, 5
1520812669.1333694, 10
1520812669.1646166, 17
1520812669.1958637, 27
1520812669.2271109, 36
1520812669.258358, 44
1520812669.2896051, 55
1520812669.3208523, 66
1520812669.3520994, 71
1520812669.3833466, 83
1520812669.4145937, 100
1520812669.4458408, 90
1520812669.477088, 33
1520812669.5082967, -35
1520812669.5395055, -66
1520812669.5707142, -58
1520812669.6019228, -47
1520812669.6331315, -48
1520812669.6643403, -49
1520812669.695549, -45
1520812669.7267578, -41
1520812669.7579665, -42
1520812669.7891753, -43
1520812669.8203838, -40
1520812669.8515925, -33
1520812669.8828013, -23
1520812669.91401, -11
1520812669.9457839, -2
1520812669.9775577, 4
1520812670.0093317, 11
1520812670.0411055, 17
1520812670.0728793, 22
1520812670.1046531, 28
1520812670.136427, 39
1520812670.168201, 48
1520812670.1999748, 57
1520812670.2317486, 74
1520812670.2635224, 90
1520812670.2952964, 71
1520812670.3270702, 11
1520812670.358844, -46
1520812670.4002144, -61
1520812670.4415848, -48
1520812670.4829552, -40
1520812670.5243254, -39
1520812670.5656958, -35
1520812670.6070662, -28
1520812670.6484365, -27
1520812670.689807, -29
1520812670.7311773, -31
1520812670.7725477, -26
1520812670.8139179, -16
1520812670.8552883, -3
1520812670.8966587, 6
1520812670.938029, 15
1520812670.9626226, 22
1520812670.9872165, 25
1520812671.0118103, 28
1520812671.036404, 35
1520812671.0609975, 42
1520812671.0855913, 48
1520812671.1101851, 66
1520812671.1347787, 82
1520812671.1593726, 62
1520812671.1839662, 0
1520812671.20856, -55
1520812671.2331536, -66
1520812671.2577472, -52
1520812671.282341, -44
1520812671.313581, -39
1520812671.3448212, -29
1520812671.3760612, -23
1520812671.4073012, -28
1520812671.4385414, -35
1520812671.4697814, -35
1520812671.5010214, -27
1520812671.5322616, -13
