1522539483.47, 10831, 300, 300, 298
1522539483.47, 10833, 300, 300, 298
1522539483.47, 10806, 301, 299, 298
1522539483.48, 10864, 301, 301, 299
1522539483.48, 10802, 301, 300, 299
1522539483.49, 10848, 300, 299, 298
1522539483.49, 10803, 300, 300, 298
1522539483.5, 10848, 301, 300, 299
1522539483.5, 10833, 300, 300, 297
1522539483.51, 10806, 300, 299, 298
1522539483.51, 10831, 300, 300, 297
1522539483.52, 10781, 300, 300, 299
1522539483.52, 10835, 299, 301, 298
1522539483.53, 10824, 301, 300, 298
1522539483.54, 10831, 299, 300, 297
1522539483.54, 10833, 299, 299, 297
1522539483.54, 10853, 300, 300, 298
1522539483.55, 10825, 301, 300, 298
1522539483.56, 10835, 299, 300, 299
1522539483.56, 10829, 299, 300, 298
1522539483.56, 10828, 300, 299, 299
1522539483.57, 10830, 301, 301, 298
1522539483.57, 10810, 300, 299, 299
1522539483.58, 10845, 301, 299, 298
1522539483.58, 10806, 301, 301, 299
1522539483.59, 10874, 300, 299, 298
1522539483.59, 10818, 300, 301, 297
1522539483.6, 10844, 299, 301, 298
1522539483.6, 10828, 299, 299, 298
1522539483.61, 10825, 300, 299, 299
1522539483.61, 10844, 301, 299, 297
1522539483.62, 10809, 300, 300, 298
1522539483.63, 10853, 299, 304, 298
1522539483.63, 10825, 300, 299, 298
1522539483.63, 10838, 301, 301, 299
1522539483.64, 10835, 299, 299, 297
1522539483.65, 10829, 301, 300, 298
1522539483.65, 10834, 300, 301, 299
1522539483.65, 10835, 299, 300, 298
1522539483.66, 10820, 299, 299, 298
1522539483.66, 10807, 300, 299, 298
1522539483.67, 10837, 300, 299, 298
1522539483.67, 10823, 300, 299, 298
1522539483.68, 10861, 300, 300, 298
1522539483.68, 10823, 301, 300, 299
1522539483.69, 10840, 300, 299, 299
1522539483.7, 10822, 300, 300, 298
1522539483.7, 10812, 300, 301, 299
1522539483.7, 10837, 300, 299, 297
1522539483.71, 10807, 299, 299, 299
1522539483.72, 10850, 299, 300, 298
1522539483.72, 10824, 298, 300, 298
1522539483.72, 10837, 300, 298, 297
1522539483.73, 10822, 300, 299, 298
1522539483.74, 10830, 300, 299, 298
1522539483.74, 10825, 300, 300, 298
1522539483.74, 10805, 300, 300, 299
1522539483.75, 10823, 300, 300, 298
1522539483.75, 10820, 299, 299, 297
1522539483.76, 10833, 300, 300, 298
1522539483.76, 10832, 300, 300, 298
1522539483.77, 10858, 299, 300, 298
1522539483.77, 10833, 300, 300, 297
1522539483.78, 10859, 299, 299, 299
1522539483.79, 10823, 300, 300, 298
1522539483.79, 10843, 300, 299, 299
1522539483.79, 10835, 299, 299, 298
1522539483.8, 10809, 300, 301, 299
1522539483.81, 10858, 299, 299, 297
1522539483.81, 10809, 299, 300, 299
1522539483.81, 10860, 301, 300, 299
1522539483.82, 10831, 299, 300, 298
1522539483.83, 10835, 300, 299, 298
1522539483.83, 10813, 300, 300, 299
1522539483.83, 10790, 300, 299, 298
1522539483.84, 10824, 299, 299, 298
1522539483.84, 10783, 299, 299, 298
1522539483.85, 10840, 301, 300, 299
1522539483.86, 10820, 298, 300, 298
1522539483.86, 10836, 300, 300, 298
1522539483.86, 10826, 300, 300, 298
1522539483.87, 10840, 299, 299, 298
1522539483.88, 10823, 299, 300, 299
1522539483.88, 10831, 300, 299, 298
1522539483.88, 10825, 300, 299, 299
1522539483.89, 10821, 300, 300, 298
1522539483.9, 10853, 299, 300, 298
